pair,covisibility,fundamental_matrix
83075770_7996971402-77600296_4997051701,0.447,-1.87840090e-01 -2.24904150e+00 2.45603000e+03 1.88934527e+00 -1.74169487e+00 -3.14426032e+03 -1.21232105e+03 4.25679029e+03 -7.60359642e+05
83075770_7996971402-50095073_6418366613,0.465,-2.56192625e-02 -7.13382677e-01 -7.79637894e+02 3.06230248e-01 -3.99565513e-01 -1.82311707e+03 7.45949164e+02 2.35168586e+03 -2.90732356e+05
83075770_7996971402-82938671_7461612508,0.456,4.38254363e-02 -3.55145661e-01 6.22653509e+02 5.30045960e-01 3.91767086e-04 -1.13764275e+02 -7.10373900e+02 -2.53761413e+01 1.96692181e+05
83075770_7996971402-27319807_9304439116,0.406,7.02057458e-03 -4.22644626e+00 5.87386569e+03 5.62706957e+00 -1.96683989e+00 -4.49462478e+03 -5.26613177e+03 4.87024550e+03 -1.05963874e+04
83075770_7996971402-35256775_2917928780,0.403,-1.75002990e-01 -4.89424326e+00 6.77022151e+03 5.30802407e+00 -3.89943078e+00 -4.76632993e+03 -4.33145179e+03 6.68247506e+03 -7.19327160e+05
27210738_2045590131-21196047_2425535608,0.406,-1.21113349e-01 -2.82338260e+00 4.11697486e+03 1.95292696e+00 -1.76649856e+00 -2.96322879e+03 -2.59110629e+03 8.15512752e+03 -3.86177292e+06
27210738_2045590131-20743436_4630134694,0.457,3.01898306e-01 -2.22998654e+00 2.05738988e+03 2.27783066e+00 5.45378089e-01 -6.87237110e+02 -1.42809696e+03 1.01438944e+03 -8.34846274e+05
27319807_9304439116-20743436_4630134694,0.468,2.30856750e-01 1.87108101e+00 -2.23538181e+03 -5.63484129e+00 -2.75288669e+00 9.39941644e+03 5.63042969e+03 -6.17842710e+03 4.28262490e+03
27319807_9304439116-11122557_224876196,0.401,1.15662697e-01 3.66682290e+00 -4.04667063e+03 -3.00439167e+00 -8.41356170e-01 3.34319746e+03 5.53328518e+03 -3.29040764e+03 -9.39735529e+05
27319807_9304439116-05907640_5576489463,0.488,-3.41474396e-01 7.68390621e+00 -6.78080044e+03 -7.59015452e+00 -1.94385627e+00 7.57957914e+03 8.19454464e+03 -5.05593988e+03 -1.62655230e+06
96047910_4059946697-83124661_8192363459,0.483,-2.24362439e-02 -4.87034317e-02 4.13017730e+02 -1.34398273e-01 -9.05193805e-02 2.94814240e+03 -1.88146127e+02 -1.93319104e+03 -1.28754805e+05
96047910_4059946697-77411356_5025499049,0.444,-9.14122035e-01 -6.25893404e+00 8.68024957e+03 5.05542163e+00 -3.46152736e+00 -4.82778647e+03 -4.92661191e+03 9.90165209e+03 -2.69821899e+06
96047910_4059946697-70216940_11604373513,0.494,-5.52555213e-01 -2.79569614e+00 4.13035999e+03 3.11792614e+00 -3.85376606e-01 -2.22793768e+03 -3.13292493e+03 3.47450118e+03 -1.78809634e+06
96047910_4059946697-64602886_907577570,0.451,-1.75107154e-02 1.20486532e+00 -7.45367468e+02 -1.36210797e+00 -4.17296290e-01 1.99108169e+03 1.05931752e+03 -2.30214127e+03 1.24821650e+05
96047910_4059946697-25930528_6781762,0.441,5.61612520e-02 1.61023089e+00 -1.31428092e+03 -1.63106247e+00 -5.26794493e-01 2.06121258e+03 1.72649617e+03 -2.40996923e+03 1.35655659e+05
96047910_4059946697-56854840_6393356391,0.446,2.50202216e-01 3.83717949e+00 -3.42303077e+03 -4.03271847e+00 1.38057640e+00 2.54521608e+03 1.81072921e+03 -3.16508657e+03 9.75631446e+05
96047910_4059946697-12447860_7511693888,0.456,-4.95840132e-02 -3.75271900e-01 4.96862558e+02 -6.79734180e-01 -5.39660397e-01 2.97091935e+03 8.81952147e+02 -3.46943212e+03 -3.77276512e+05
96047910_4059946697-91526402_8673579252,0.481,-9.41233058e-03 4.52314026e-02 2.34873340e+01 -2.57659944e-01 -1.47101823e-01 1.40117948e+03 1.70658908e+02 -1.75212007e+03 8.42617048e+04
96047910_4059946697-54627819_131932061,0.439,-5.80846512e-02 1.75572846e+00 -2.19673490e+03 -1.98765976e+00 6.16363448e-02 3.69676833e+02 2.17012476e+03 -4.33493597e+02 5.72948120e+04
96047910_4059946697-34169301_5802403584,0.431,1.68426817e-01 2.53307604e+00 -2.40765169e+03 -2.28502499e+00 -4.52679213e-01 2.12331274e+03 2.69902261e+03 -2.71690922e+03 4.20261087e+05
53822146_6393351439-20743436_4630134694,0.442,2.14033745e-01 -1.09795021e+00 4.04078239e+02 8.61093667e-01 2.70350455e-01 -1.67253158e+02 -5.12123598e+02 1.02493318e+02 -1.22908658e+03
53822146_6393351439-06788497_3085353292,0.432,-1.18261928e-01 -7.37815521e-01 2.73279602e+02 4.45157315e-01 1.25210079e-01 -1.11190616e+03 1.60582240e+01 1.48086410e+03 6.22649955e+03
53822146_6393351439-50095073_6418366613,0.475,-8.96312918e-02 1.09807324e-01 -5.40074881e+02 -9.55983236e-02 1.40702597e-01 -6.37962287e+02 9.00131591e+02 1.07474018e+03 -2.94204130e+05
53822146_6393351439-40100536_3431142134,0.475,6.48310705e-02 -7.70290853e-01 1.99613992e+02 6.39012051e-01 -1.44986641e-02 2.29218379e+02 -2.74127186e+02 -5.65801592e+02 3.28837703e+04
53822146_6393351439-49331387_5131734970,0.403,-6.53702789e-02 -2.90266298e+00 1.95633275e+03 2.40060100e+00 -4.57270334e-01 -2.16515257e+03 -2.86014509e+03 3.19858286e+03 8.52348717e+05
53822146_6393351439-49809790_3475639998,0.4,-7.80225477e-02 -3.46812253e-01 -9.90567794e+01 2.63713660e-01 1.86576542e-01 -7.84689701e+02 4.00588147e+02 1.19231833e+03 -1.59621746e+05
12201840_2095020348-06788497_3085353292,0.438,-9.58739725e-02 -9.25503959e-01 5.25108880e+02 5.95746382e-01 2.21574151e-01 -9.82739659e+02 -3.06883459e+02 1.29515573e+03 -7.49333075e+04
54067497_536054505-26362358_4619718880,0.464,1.54974055e-01 3.88537028e+00 -3.48418025e+03 -5.90451569e+00 -3.98033458e+00 1.44001332e+04 8.06691289e+03 -8.07904380e+03 -8.56880426e+06
54067497_536054505-21526113_4379776807,0.424,-3.64503511e+00 1.31514906e-01 7.31670393e+03 -2.93683355e+00 -5.47877209e+00 9.67800179e+03 6.72757755e+03 -4.27525936e+03 -1.07728417e+07
54067497_536054505-42578175_457568876,0.466,-6.08097239e-02 3.56867028e+00 -2.34959463e+03 -6.68716428e+00 -3.27962296e+00 1.77221048e+04 6.25548079e+03 -7.73231146e+03 -9.04251169e+06
54067497_536054505-06788497_3085353292,0.435,1.81533789e-01 2.79604112e+00 -3.19680953e+03 -2.91738352e+00 -1.29498095e+00 8.22025042e+03 3.39666137e+03 -4.10473005e+03 -4.02057365e+06
54067497_536054505-11122557_224876196,0.431,6.41043307e-02 5.06329218e-01 -7.10195965e+02 -1.78913148e+00 -1.82029119e+00 9.95044879e+03 2.26535601e+03 -6.19806960e+03 -5.78156815e+06
54067497_536054505-05907640_5576489463,0.408,-5.02256261e-01 3.79105468e+00 -1.01501591e+03 -6.78824926e+00 -2.55273749e+00 1.82117203e+04 5.59528604e+03 -8.37517821e+03 -8.79069554e+06
54067497_536054505-40864945_6371463665,0.436,-1.13048881e+00 2.51008110e+00 1.53647380e+03 -6.16583401e+00 -3.30480474e+00 1.79775615e+04 5.59675801e+03 -7.88238374e+03 -1.01729734e+07
54067497_536054505-27210738_2045590131,0.464,-5.58007562e-01 1.87496110e+00 2.02636498e+02 -5.23203281e+00 -3.42661332e+00 1.52111473e+04 5.84629225e+03 -8.24597587e+03 -9.34560436e+06
54067497_536054505-39664712_6371434217,0.436,-7.92057017e-01 2.79988651e+00 4.89145095e+02 -6.14575979e+00 -3.40676953e+00 1.79973569e+04 5.56740315e+03 -7.86265107e+03 -1.01165050e+07
82762931_5145144842-70216940_11604373513,0.446,-5.93787294e-01 -4.78571348e+00 5.70096030e+03 4.63742780e+00 -1.71631382e+00 -5.70212864e+03 -3.98968290e+03 7.47742607e+03 -1.05365981e+06
82762931_5145144842-69305986_4941166067,0.477,-9.31930708e-01 -5.86787278e+00 6.03775745e+03 3.75049162e+00 -8.81463591e-01 -8.01417267e+03 -1.68487968e+03 4.44049720e+03 9.11646919e+05
82762931_5145144842-64602886_907577570,0.478,-6.70591729e-03 -7.02488516e-01 8.99891099e+02 5.38121233e-01 8.76241238e-03 -6.78992702e+02 -1.11902208e+03 9.40066985e+02 1.95745531e+05
82762931_5145144842-25930528_6781762,0.445,-9.32261119e-03 -3.16191416e-01 4.71279750e+02 1.92842822e-01 8.43337032e-02 -5.29742670e+02 -5.32553506e+02 7.04284433e+02 1.24728497e+05
82762931_5145144842-12447860_7511693888,0.409,2.03881289e-03 -1.42937841e+00 1.15536489e+03 1.22924002e+00 2.56881324e-02 7.02075817e+01 -1.80270444e+03 -5.58445014e+02 3.17924339e+05
82762931_5145144842-50095073_6418366613,0.469,-1.45030311e-01 -9.09913419e-01 -3.37118729e+02 4.54641708e-01 -5.34927554e-02 -2.49673173e+03 5.77884051e+02 2.62946121e+03 1.25103802e+05
82762931_5145144842-77890665_7213228852,0.474,-2.99843798e-03 -2.30501356e-01 2.65770546e+02 1.59757059e-01 -2.30910067e-01 -5.70162765e+02 -1.40894552e+02 9.68399242e+02 -3.27802283e+05
82762931_5145144842-27319807_9304439116,0.479,-2.31198254e-01 -5.30937324e+00 5.74933040e+03 5.28133704e+00 -2.35653150e+00 -4.98358218e+03 -4.82657640e+03 6.21854930e+03 4.00432495e+05
82762931_5145144842-34169301_5802403584,0.455,3.88201389e-02 3.84144327e-01 -2.92388567e+02 -3.71044444e-01 1.81147486e-01 -3.28188443e+02 4.67654608e+02 3.15247111e+02 -2.69361619e+04
82762931_5145144842-35256775_2917928780,0.475,-4.44099767e-01 -6.04831419e+00 6.55545345e+03 4.60273896e+00 -3.94867594e+00 -5.23866166e+03 -3.60912983e+03 7.57162899e+03 -1.03560238e+05
83726689_3474844409-78796792_457569684,0.423,-2.24238541e-02 -8.44557583e-01 1.70839821e+03 1.17534142e+00 -5.49156279e-02 -4.69228692e+02 -1.08884038e+03 5.15596607e+02 -4.99276026e+05
83726689_3474844409-77522412_4780460527,0.446,1.65164957e-01 -2.32759499e+00 3.48796675e+03 2.46202583e+00 5.81307829e-01 9.69484095e+02 -2.64315886e+03 -1.10647962e+03 -3.43082183e+05
83726689_3474844409-77056867_7461601108,0.415,-1.42035542e-01 -1.14591954e+00 2.63796565e+03 1.86750161e+00 6.50207967e-02 -8.51863720e+02 -1.90938868e+03 5.73687966e+02 -5.72762821e+05
83726689_3474844409-20743436_4630134694,0.41,1.76198968e-01 -3.06314455e+00 4.45960117e+03 3.34057224e+00 1.05924145e+00 -8.82205350e+02 -2.80597314e+03 7.84261945e+02 -1.67744020e+06
83726689_3474844409-77638341_4064879131,0.472,1.47474764e-02 -5.90269086e-01 1.51831228e+03 4.54313087e-01 -3.94349836e-02 -1.13540093e+02 -1.11073216e+03 3.32295599e+02 -3.31951013e+05
83726689_3474844409-82938671_7461612508,0.493,1.55000559e-01 -1.15053543e+00 2.57826223e+03 1.51459822e+00 -2.00217799e-01 -1.31728198e+02 -2.24113339e+03 3.37396516e+02 1.00570574e+05
83726689_3474844409-63623059_8849912061,0.445,-1.94269974e-01 -6.68161590e+00 1.16111294e+04 7.27516393e+00 -3.35534600e+00 -6.02283448e+03 -7.40479581e+03 8.13147862e+03 -1.84531214e+06
83726689_3474844409-55681420_9334004985,0.419,8.56583762e-02 -7.28964257e-01 1.75701762e+03 4.09194668e-01 -3.79167406e-02 -8.90688138e+02 -1.07193676e+03 1.08800422e+03 -3.31627092e+05
28333479_2097887375-12447860_7511693888,0.445,1.88561175e-02 -7.55825647e-01 2.82221553e+03 -9.24321995e-01 1.16544067e+00 1.31719203e+04 1.91280315e+03 -8.33681516e+03 -2.24097106e+06
34169301_5802403584-21196047_2425535608,0.445,6.26918949e-02 -2.44100487e+00 4.11355521e+03 2.81268053e+00 -1.80885087e+00 -2.84617398e+03 -4.21817751e+03 6.22397184e+03 -1.84085027e+06
34169301_5802403584-06788497_3085353292,0.479,-1.34252161e-01 -2.68419075e+00 3.18560899e+03 2.60028599e+00 -1.00337333e+00 -3.79672446e+03 -2.24374117e+03 3.66801320e+03 2.14178476e+05
97169406_8015985714-78796792_457569684,0.422,-4.16287022e-02 1.97616393e+00 -2.03850686e+03 -2.19218659e+00 -7.71139280e-02 8.78269229e+02 1.37734597e+03 -1.16344212e+03 7.07604745e+05
97169406_8015985714-77637372_464905579,0.454,-1.91775818e-02 1.20224010e+00 -1.02542244e+03 -1.15068513e+00 -7.98120524e-03 2.78609889e+02 1.20862979e+03 -2.85158970e+02 -4.11640174e+04
97169406_8015985714-70216940_11604373513,0.455,-2.23496888e-01 -2.61430930e+00 4.03541866e+03 2.93481163e+00 -7.10520594e-01 -3.81272481e+03 -3.09952631e+03 5.13150538e+03 -2.12207455e+06
97169406_8015985714-69305986_4941166067,0.484,-7.00494336e-02 -1.02546720e+00 1.34309311e+03 1.80425328e-01 6.25238784e-01 -6.13349074e+03 9.57286819e+01 2.83303537e+03 6.34978280e+04
97169406_8015985714-68153082_7213226096,0.417,-3.09457292e-02 2.22500326e+00 -2.27566441e+03 -2.46229410e+00 -8.44490906e-02 6.33845415e+02 1.97438875e+03 -4.18706864e+02 -9.24733537e+03
97169406_8015985714-64602886_907577570,0.435,-3.72601950e-02 1.18815837e+00 -9.54219697e+02 -1.11583862e+00 -7.22556218e-02 5.28445621e+02 1.08184242e+03 -7.40931715e+02 1.49663946e+05
97169406_8015985714-26362358_4619718880,0.454,3.46699499e-02 2.17680715e+00 -2.48261217e+03 -2.03559097e+00 -1.99293259e-01 1.26836267e+03 3.02297524e+03 -1.42812157e+03 6.86284344e+04
97169406_8015985714-25930528_6781762,0.417,-6.23709016e-03 1.59451850e+00 -1.51199178e+03 -1.37899719e+00 -7.40351371e-02 5.73778344e+02 1.74990940e+03 -9.13798453e+02 2.28919811e+05
97169406_8015985714-21526113_4379776807,0.498,-1.19838796e+00 1.23117619e+00 -1.03563509e+03 -9.95045821e-01 -1.22246524e+00 1.35098463e+03 2.29139848e+03 3.74938759e+02 -7.07682777e+05
97169406_8015985714-63027789_7461595968,0.483,-1.25249669e-01 1.56905490e+00 -1.28825036e+03 -1.74164804e+00 -2.02655835e-01 9.30178836e+02 1.30624644e+03 -9.82777856e+02 2.73407108e+05
97169406_8015985714-20743436_4630134694,0.481,4.79529671e-02 -3.90532846e-01 4.12689209e+02 -2.51907275e-01 2.16506476e-01 1.29243828e+03 3.14633896e+02 -1.17444835e+03 9.04834696e+04
97169406_8015985714-92014338_3615980119,0.42,-2.90324411e-02 -5.22795326e+00 7.35202533e+03 3.13771847e+00 -3.24286566e+00 -5.03604257e+03 -3.71510171e+03 1.04858309e+04 -3.27155926e+06
97169406_8015985714-11122557_224876196,0.495,-6.18326184e-03 -3.98914753e-02 -6.65574549e+01 2.25137275e-02 6.23237012e-03 -4.20377594e+02 1.47762617e+02 5.94341570e+02 -1.20672432e+05
97169406_8015985714-63623059_8849912061,0.467,8.13692886e-02 -3.67381872e+00 5.10430278e+03 3.58751887e+00 -1.40805020e+00 -3.70192116e+03 -4.06396988e+03 5.41069919e+03 -1.24225059e+06
97169406_8015985714-83075770_7996971402,0.499,-9.70500989e-03 2.02864637e+00 -2.00250037e+03 -1.79500478e+00 -4.59138054e-02 6.84810451e+02 1.85778014e+03 -1.12680443e+03 4.52430178e+05
97169406_8015985714-27210738_2045590131,0.485,-1.26068853e-01 1.44860904e+00 -1.24846840e+03 -1.51039804e+00 -2.21770961e-01 1.26440148e+03 1.64054170e+03 -1.29612940e+03 4.51568996e+04
97169406_8015985714-27319807_9304439116,0.44,8.06926675e-02 -3.31728951e+00 4.55524449e+03 3.67967065e+00 -1.21242983e+00 -2.92005477e+03 -3.90269425e+03 4.39002609e+03 -1.26031708e+06
97169406_8015985714-83726689_3474844409,0.438,-8.47980722e-02 2.09382568e+00 -2.40922448e+03 -1.92592901e+00 -2.11878242e-01 8.96338334e+02 2.93781183e+03 -8.15242013e+02 -4.17944457e+04
97169406_8015985714-34169301_5802403584,0.421,2.26210927e-02 2.42026028e+00 -2.54078021e+03 -2.03412337e+00 -8.44988589e-03 6.36035413e+02 2.76564280e+03 -1.14752773e+03 3.48622004e+05
97169406_8015985714-35256775_2917928780,0.416,2.46967941e-02 -4.41501963e+00 5.74826218e+03 3.60925697e+00 -2.73562852e+00 -3.49505232e+03 -3.30451829e+03 6.65709367e+03 -2.25204284e+06
97169406_8015985714-35298921_404896411,0.498,-3.78826907e-02 1.55383549e+00 -1.36080318e+03 -1.50587517e+00 -5.34404065e-02 2.57812023e+02 1.54461632e+03 -2.48081967e+02 1.85764160e+03
97169406_8015985714-36009638_559975512,0.466,-3.63123106e-02 -2.80264275e+00 3.95008176e+03 2.57240657e+00 -8.09720283e-01 -2.75193701e+03 -4.00925909e+03 4.82901924e+03 -6.68674038e+05
35256775_2917928780-27632173_1671275972,0.434,2.05655999e-01 3.45252448e+00 -3.33469633e+03 -7.12716266e+00 -5.09532927e+00 1.19222900e+04 1.04608842e+04 -7.60020654e+03 -3.85619633e+06
35256775_2917928780-20743436_4630134694,0.464,-6.96187503e-04 3.59249420e-01 -3.30904256e+02 -9.13402421e+00 -5.40886011e+00 1.44540318e+04 8.87345763e+03 -7.79950330e+03 -1.99141299e+06
35256775_2917928780-05907640_5576489463,0.452,-8.34514083e-01 8.83231433e+00 -6.65442206e+03 -1.08463428e+01 -4.97963951e+00 1.21924704e+04 1.17313244e+04 -7.11804478e+03 -2.88538663e+06
97250286_522198503-77522412_4780460527,0.413,-2.79404643e-01 -6.80072261e-01 3.12135850e+03 -7.80269598e-01 1.72584034e+00 7.25389976e+03 4.03446935e+02 -5.74284122e+03 -1.79333072e+06
97250286_522198503-69305986_4941166067,0.435,-5.03306365e-01 -2.96785972e+00 6.98507342e+03 3.48963420e+00 -5.10107560e-01 -3.64644298e+03 -2.51257627e+03 1.55370937e+03 1.05843193e+05
97250286_522198503-68153082_7213226096,0.422,-1.41355313e-01 1.58680234e+00 -8.30070514e+02 -1.96077485e+00 1.07192948e+00 3.64601502e+03 8.40214138e+02 -3.39056764e+03 5.59895688e+05
97250286_522198503-68127387_81603260,0.413,-1.89787677e-01 7.51117967e-01 2.15243163e+02 -1.14166556e+00 1.11132604e+00 2.89085663e+03 1.57988514e+02 -3.61699216e+03 1.22233641e+06
97250286_522198503-63135281_5801848783,0.404,4.77143914e-01 -3.15868011e-01 -1.95439686e+03 -1.13466839e+00 2.50968585e+00 3.87394733e+03 -1.72225010e+02 -4.59677399e+03 2.77800876e+06
97250286_522198503-21196047_2425535608,0.442,-3.04035835e-02 -1.93261574e+00 4.39599581e+03 2.87911057e+00 -1.11784361e+00 -2.50110885e+03 -5.15123643e+03 4.50822662e+03 -1.16162554e+06
97250286_522198503-63027789_7461595968,0.425,-6.22646936e-01 6.73516412e-02 2.28822426e+03 -1.12072909e+00 1.11692044e+00 4.16567284e+03 1.44267977e+02 -3.71726965e+03 -7.04912451e+05
97250286_522198503-20743436_4630134694,0.412,-3.05176656e-01 -2.43795314e+00 5.67184675e+03 6.08102040e-01 2.51939436e+00 4.22246982e+03 -7.56015828e+02 -3.62355898e+03 -1.98770075e+06
97250286_522198503-92014338_3615980119,0.421,-6.23386943e-01 -5.75940631e+00 1.39237989e+04 7.39811466e+00 -4.90252132e+00 -8.08457610e+03 -8.42862201e+03 1.09431443e+04 -2.28384391e+06
97250286_522198503-54163059_5716537618,0.466,-4.02600021e-01 -2.32876642e+00 6.15955478e+03 2.07432980e+00 2.02924393e+00 2.01561315e+03 -5.28428167e+03 -7.18080324e+03 1.67491223e+06
97250286_522198503-50095073_6418366613,0.452,-4.75443885e-02 4.92180007e-01 -1.61131318e+03 -7.90441126e-01 -1.27027347e-01 7.06922034e+02 1.33937414e+03 -9.74199372e+01 -1.63296725e+05
97250286_522198503-63623059_8849912061,0.447,-3.47687659e-01 -4.59249578e+00 1.12815246e+04 7.36208402e+00 -1.15956944e+00 -4.64882955e+03 -8.22270503e+03 3.63346762e+03 -3.73743602e+05
97250286_522198503-96047910_4059946697,0.498,4.83390103e-02 -1.23149164e+00 2.87591846e+03 1.70350128e+00 3.53442133e-01 -1.70406482e+02 -2.22147034e+03 -4.43193936e+02 1.81112591e+05
97250286_522198503-97169406_8015985714,0.428,-1.72867777e-01 -1.20329814e+00 3.27068242e+03 1.09325267e+00 8.88538787e-01 3.36375529e+03 -1.91561886e+03 -3.04783328e+03 -5.59717838e+05
97250286_522198503-40100536_3431142134,0.469,-1.78077193e-01 -1.32464511e+00 3.04888388e+03 -2.74091653e-01 1.98606555e+00 6.72454244e+03 -8.47445799e+01 -5.58255909e+03 -1.04893639e+06
97250286_522198503-55681420_9334004985,0.462,1.10295695e-01 1.96233548e+00 -1.37947673e+03 -1.99622516e+00 4.67289323e-02 4.10757993e+03 9.84540713e+02 -2.94422948e+03 -3.12440923e+05
35298921_404896411-21196047_2425535608,0.414,-2.19495545e-02 -2.62325105e+00 3.83443006e+03 2.27659478e+00 -1.43256339e+00 -2.61089533e+03 -3.20466798e+03 6.50218192e+03 -2.80426573e+06
35298921_404896411-20743436_4630134694,0.41,4.82679023e-01 -2.72339994e+00 2.80789427e+03 2.23938193e+00 1.10769175e+00 7.51007850e+02 -1.45046634e+03 -2.20966403e+02 -9.29941054e+05
97370029_2231232779-92376688_8105076200,0.411,-1.74033797e-01 -3.41516259e+00 2.26697319e+03 3.10211287e+00 3.33624569e-02 -2.52086744e+03 -1.47640651e+03 2.02431527e+03 -7.07125683e+04
97370029_2231232779-70216940_11604373513,0.457,-4.25606682e-01 -4.02951388e+00 4.88625098e+03 4.10462774e+00 -8.53883694e-01 -3.90979871e+03 -3.47972620e+03 5.82356134e+03 -2.23438974e+06
97370029_2231232779-64099927_10616457153,0.449,7.87623962e-02 -5.94297968e+00 6.43473011e+03 5.22526497e+00 -1.77128426e+00 -4.85640639e+03 -4.84650661e+03 6.30405682e+03 -6.22916249e+05
97370029_2231232779-27034168_3934048864,0.461,-6.03716611e-02 -6.14668412e-01 1.81030357e+02 5.60262701e-01 2.74826983e-02 -9.47676333e+02 1.28196394e+02 1.40340774e+03 -3.97076135e+05
97370029_2231232779-92014338_3615980119,0.494,-4.38273122e-01 -6.10467910e+00 7.57564121e+03 3.72436539e+00 -3.32510157e+00 -4.79283108e+03 -3.63738459e+03 1.00308622e+04 -2.64100450e+06
97370029_2231232779-12447860_7511693888,0.478,1.04762639e-01 -9.73068890e-01 6.78873586e+02 6.19959798e-01 -8.65518228e-02 1.08005273e+03 -4.88401134e+02 -1.49482134e+03 -4.14027633e+04
97370029_2231232779-91526402_8673579252,0.498,-1.62299852e-03 -9.55465541e-01 6.59842333e+02 9.38364594e-01 -5.53036144e-03 -2.60397286e+02 -8.01722103e+02 2.43995177e+02 5.73538610e+04
97370029_2231232779-77890665_7213228852,0.44,-3.19435635e-03 4.81165685e-01 -6.53279135e+02 -5.98703817e-01 -1.51986316e-02 9.53234458e+01 6.31234848e+02 -5.35029524e+01 -6.04790713e+03
97370029_2231232779-27319807_9304439116,0.467,-1.31679736e-01 -4.53231884e+00 5.19839343e+03 4.68864825e+00 -1.37417764e+00 -3.07760333e+03 -4.21196106e+03 4.69335076e+03 -1.10359427e+06
97370029_2231232779-54067497_536054505,0.461,-1.28456420e-01 -1.66166609e+00 1.42780307e+03 7.94964554e-01 -8.16701650e-01 -2.07480553e+03 -1.11668877e+02 4.79115510e+03 -2.55706364e+06
97370029_2231232779-35256775_2917928780,0.443,-3.35297610e-01 -5.34616484e+00 6.13467142e+03 4.34579416e+00 -2.82544004e+00 -3.50539143e+03 -3.33338769e+03 6.36560431e+03 -1.73602154e+06
97370029_2231232779-40533611_1359502142,0.42,-1.08388091e-02 6.11185613e-01 -8.09877984e+02 -4.66913169e-01 -2.71189305e-02 2.40090384e+02 1.06565409e+03 -2.70855521e+02 -1.04465139e+05
36009638_559975512-20743436_4630134694,0.434,2.05823993e-01 1.56031720e+00 -2.82112678e+03 -7.97683387e+00 -2.45459152e+00 1.60891138e+04 8.34525712e+03 -8.84340268e+03 1.50838917e+06
36009638_559975512-27319807_9304439116,0.408,-1.99389645e-02 4.65184296e-01 -5.93023747e+02 -5.69667574e-01 2.74108344e-01 1.92492310e+03 5.63392463e+02 -1.78240510e+03 2.87000017e+05
39664712_6371434217-27034168_3934048864,0.455,-1.01797056e-01 -7.10589534e-01 2.70147572e+02 6.35143736e-01 -1.20414461e-02 -1.22177544e+03 1.86732729e+02 1.78935154e+03 -5.46233952e+05
39664712_6371434217-12447860_7511693888,0.447,6.38481913e-02 -1.00083170e+00 7.00147591e+02 6.89537800e-01 -5.61443159e-02 8.83754723e+02 -6.19984509e+02 -1.22451436e+03 -2.80327176e+03
39664712_6371434217-27319807_9304439116,0.463,-3.88883083e-01 -4.70810589e+00 5.64369124e+03 4.80418561e+00 -1.81365660e+00 -3.44097424e+03 -4.07921945e+03 5.42045741e+03 -1.36659635e+06
39664712_6371434217-35256775_2917928780,0.426,-6.51241678e-01 -5.55929316e+00 6.69897626e+03 4.36437248e+00 -3.34096626e+00 -3.79441645e+03 -3.08152851e+03 7.06889978e+03 -2.08913888e+06
40100536_3431142134-27034168_3934048864,0.401,-2.58978366e-02 -1.35979995e-01 5.59309101e+01 -3.06057303e-01 2.55455272e-01 -1.80252172e+03 5.87452265e+02 2.75635926e+03 -8.34672603e+05
40100536_3431142134-25930528_6781762,0.467,8.81961504e-02 1.12373105e+00 -7.48092642e+02 -1.13485635e+00 5.15062148e-01 -8.61925723e+02 1.08011702e+03 5.96347722e+02 5.93382682e+04
40100536_3431142134-10875736_10366156803,0.408,5.41382727e-02 7.00269015e-01 -4.78188214e+02 -1.11994134e+00 3.90409566e-01 -1.08392307e+03 1.17716161e+03 1.78508851e+03 -4.80504567e+05
40100536_3431142134-12201840_2095020348,0.492,1.33502502e-01 2.64942692e+00 -1.89737602e+03 -3.04901641e+00 -3.45205586e-01 -1.12572485e+03 1.63024335e+03 7.50586060e+02 1.83637254e+05
40100536_3431142134-34169301_5802403584,0.468,1.18756994e-01 1.90209697e+00 -1.62012408e+03 -1.76014571e+00 6.59628900e-01 -7.95456102e+02 2.07489163e+03 2.45756069e+02 5.77763677e+04
40100536_3431142134-35256775_2917928780,0.476,1.55010532e-01 -5.59687813e+00 6.53105606e+03 2.78113140e+00 -3.36050327e+00 -4.31320944e+03 -2.71723398e+03 8.63071129e+03 -2.47953980e+06
40103707_6393354149-06788497_3085353292,0.444,-1.40315175e-01 -8.62754067e-01 4.52715533e+02 5.43064251e-01 3.54945042e-01 -1.16236310e+03 -1.01419554e+02 1.30537321e+03 -5.40164610e+04
40533611_1359502142-06788497_3085353292,0.427,-2.89170288e-01 -2.33561539e+00 3.02941059e+03 1.98426465e+00 -1.00147409e+00 -3.78412375e+03 -1.37275859e+03 3.96780129e+03 -6.52242889e+05
40533611_1359502142-05907640_5576489463,0.433,1.07072773e-02 -6.18466235e-01 1.60794233e+03 9.08609725e-01 3.61208128e-02 -8.73749428e+01 -1.23975869e+03 2.85293506e+01 -8.30802512e+04
40533611_1359502142-39664712_6371434217,0.403,3.44773022e-02 -7.69861540e-01 1.92753584e+03 1.02272582e+00 9.56364037e-02 -4.33336918e+01 -1.52180585e+03 -4.94936075e+01 -1.67104655e+05
40533611_1359502142-40100536_3431142134,0.401,2.19556684e-04 -2.48644644e+00 3.25618313e+03 2.52035428e+00 7.68432744e-01 1.52172599e+03 -2.11085160e+03 -1.38129216e+03 -3.08454963e+05
